Date,Users,Configurator Completions
20160204,326658,26717
20160203,289152,27422
20160202,379582,27259
20160201,328932,30119
20160131,370269,33700
20160130,362142,31704
20160129,600876,30629
20160128,566285,30755
20160127,752524,30243
20160126,619273,30968
20160125,541570,32102
20160124,329152,33651
20160123,324951,32719
20160122,511293,29528
20160121,578682,27801
20160120,532887,27649
20160119,524503,29261
20160118,394167,30175
20160117,283756,32907
20160116,260372,29977
20160115,365741,27601
20160114,365790,28473
20160113,386639,28220
20160112,354001,28471
20160111,326495,28538
20160110,246540,30856
20160109,235979,29626
20160108,256528,26057
20160107,276818,25377
20160106,247141,24478
20160105,244442,25005
20160104,272554,25212
20160103,231619,26448
20160102,219002,25156
20160101,233534,19155
20151231,301528,19471
20151230,317262,24911
20151229,343988,25802
20151228,311493,25425
20151227,260611,22147
20151226,253217,20337
20151225,254891,15977
20151224,252344,17729
20151223,314778,22359
20151222,307725,23424
20151221,318019,23398
20151220,284545,22879
20151219,280470,21352
20151218,304827,20561
20151217,274014,20678
20151216,298555,21812
20151215,292255,23178
20151214,304993,25255
20151213,252795,25842
20151212,247185,23529
20151211,243127,23000
20151210,264447,22865
20151209,277505,23304
20151208,248859,24609
20151207,268930,25025
20151206,261575,26165
20151205,265496,23681
20151204,270340,22935
20151203,248390,23700
20151202,260275,24149
20151201,266008,25168
20151130,300213,26050
20151129,295473,27558
20151128,293331,25734
20151127,285995,23508
20151126,276413,24210
20151125,292367,26394
20151124,569620,27435
20151123,431630,29219
20151122,306284,30825
20151121,295767,29853
20151120,782495,29191
20151119,565572,27000
20151118,591573,26875
20151117,867045,27972
20151116,1194997,28054
20151115,356852,29280
20151114,297690,26544
20151113,821111,27884
20151112,386647,28005
20151111,297133,29155
20151110,328469,32296
20151109,353008,33732
20151108,286687,28868
20151107,307704,27259
20151106,315402,25142
20151105,434413,25592
20151104,351991,25994
20151103,346270,25804
20151102,374858,27483
20151101,464726,27090
20151031,320679,24979
20151030,358463,25218
20151029,332774,25218
20151028,327959,26260
20151027,344652,27283
20151026,379962,28603
20151025,308944,29551
20151024,307171,27278
20151023,297767,27324
20151022,273095,25688
20151021,271280,25840
20151020,287339,25660
20151019,286292,28185
20151018,288357,27996
20151017,284303,26426
20151016,262531,25147
20151015,248460,24944
20151014,260450,26466
20151012,257482,27591
20151011,255520,28583
20151010,302636,27132
20151009,250543,24742
20151008,316465,24735
20151007,248422,25522
20151006,247637,26347
20151005,245787,25975
20151004,237244,27111
20151003,239716,26703
20151002,241607,25957
20151001,231743,23681
20150930,259985,24331
20150929,321680,26412
20150928,278972,27575
20150927,267262,28368
20150926,259694,26130
20150925,275691,25692
20150924,247209,24876
20150923,258223,25800
20150922,258041,27125
20150921,285641,27292
20150920,264423,27180
20150919,266383,25502
20150918,304724,24570
20150917,326041,24446
20150916,317851,25210
20150915,331352,26010
20150914,337428,26096
20150913,254664,27425
20150912,241233,25596
20150911,291511,21990
20150910,285905,22414
20150909,296254,23042
20150908,302922,24619
20150907,439144,24852
20150906,260847,23721
20150905,215377,24268
20150904,299292,22760
20150903,307414,22760
20150902,333172,23407
20150901,312344,23744
20150831,331958,26380
20150830,273034,25828
20150829,250889,24780
20150828,311504,24128
20150827,382767,23330
20150826,345325,23599
20150825,523886,24670
20150824,507553,26510
20150823,281733,25729
20150822,261635,23043
20150821,335646,22738
20150820,316104,22607
20150819,350063,23884
20150818,369275,24424
20150817,369906,23966
20150816,245321,24266
20150815,211428,22056
20150814,360830,23281
20150813,297947,22084
20150812,289827,22313
20150811,333538,23566
20150810,343593,24874
20150809,216772,22692
20150808,214285,20725
20150807,280138,20192
20150806,301347,21662
20150805,284940,20673
20150804,307192,21382
20150803,334509,21600
20150802,236416,19810
20150801,218013,19483
20150731,295676,19749
20150730,382984,21749
20150729,325882,21889
20150728,340980,22890
20150727,468381,23767
20150726,248018,23008
20150725,230964,20243
20150724,342332,20605
20150723,361338,20667
20150722,411955,21464
20150721,397214,21864
20150720,374320,21562
20150719,237239,21230
20150718,230513,20026
20150717,285103,19079
20150716,282173,19652
20150715,336705,21062
20150714,376815,21316
20150713,376324,21261
20150712,255882,19921
20150711,562092,18646
20150710,416089,18047
20150709,347019,19205
20150708,354789,20498
20150707,336015,20159
20150706,423982,20327
20150705,233263,18679
20150704,215527,18043
20150703,226435,18300
20150702,249444,18865
20150701,304640,19645
20150630,228895,19411
20150629,259758,22420
20150628,247117,22451
20150627,269295,20643
20150626,252590,20912
20150625,252637,21101
20150624,271481,22021
,73777231,5588642
